Unnamed: 0,province,CO2_tonnes,year
580.0,Phetchabun,1854127.116242085,2007
581.0,Phetchaburi,1980465.3791772428,2007
582.0,Phichit,1029906.859136612,2007
583.0,Phitsanulok,2799722.7775994944,2007
584.0,Phra Nakhon Si Ayutthaya,8277258.177076206,2007
585.0,Phrae,939033.945402172,2007
586.0,Phuket,1842678.5373298696,2007
587.0,Prachin Buri,4794844.489955856,2007
588.0,Prachuap Khiri Khan,2286550.252654344,2007
589.0,Ranong,431325.3240732245,2007
590.0,Ratchaburi,11152325.176593428,2007
591.0,Rayong,13581345.942562915,2007
592.0,Roi Et,1205155.433401032,2007
593.0,Sa Kaeo,940902.1830262446,2007
594.0,Sakon Nakhon,1230692.227436562,2007
595.0,Samut Prakan,6508282.553109733,2007
596.0,Samut Sakhon,2498857.202049604,2007
597.0,Samut Songkhram,534010.3367625518,2007
598.0,Saraburi,5766625.179052076,2007
599.0,Satun,695265.614526123,2007
600.0,Sing Buri,652779.8753468565,2007
601.0,Sisaket,555594.9673094415,2007
602.0,Songkhla,3832545.5563609465,2007
603.0,Sukhothai,1849872.6531697407,2007
604.0,Suphan Buri,3774465.023646943,2007
605.0,Surat Thani,3339231.1488793334,2007
606.0,Surin,546055.3989062958,2007
607.0,Tak,1164304.8685693005,2007
608.0,Trang,1594277.9473978472,2007
609.0,Trat,512526.4855733447,2007
610.0,Ubon Ratchathani,1356878.6906140698,2007
611.0,Udon Thani,2697514.910246116,2007
612.0,Uthai Thani,575110.1186238322,2007
613.0,Uttaradit,925476.8290804127,2007
614.0,Yala,875725.525650249,2007
615.0,Yasothon,448404.65409622,2007
